"","text"
"1","looks ok not like so durable will hv to use a while to recommend others of its worth"
"2","tried the current can be very powerful depending on the setting i dont dare to go higher but if go higher sure muscle will become sore and can see the effect faster"
"3","item received after a week looks smaller than expected can‚t wait to try"
"4","thanks works as describe no complaints not really expecting any life changing results but thanks"
"5","fast delivery considering from overseas and only tried once not sure about the results yet"
"6","fast delivery good service "
"7","got my order and it came well packaged have yet to try but looks good so far thanks "
"8","items received in a nice box have not used it yet hopefully it works"
"9","received in good condition tried so far so good not that bad "
"10","item doesn‚t work    asked me to send a refund  show a non working machine and deem not enough evidence    don‚t waste time buying  "
"11","fast great"
"12","ive tried it and it works as advertised"
"13","hub uses it muscle growth on the upper arm "
"14","well received fast delivery and yet to replace the old pads hope it works will update again once tried "
"15","product received packaging damage but the unit are working well satisfied with the purchased thank you"
"16","good "
"17","box was a little beat up and had a smell but overall nicely packed came w a guide manual too"
"18","fast delivery however the product casing was slightly dented‚"
"19","fast delivery prompt response the material is good exactly like the photo‚"
"20","product received was exactly the the same as photos impressed with the quality as well texture isn‚t sticky as with some rubber products definitely a good buy‚"
"21","the bands were individually wrapped and came with a waterprood bag and guide pamplet as well"
"22","can really feel it treating it as a massage device cant help you slim down without excercise the chip can be better improved"
"23","product is okay havent tried but hope its ok"
"24","great deal and delivery is fast  response from seller is fast as well will recommend to other buyers "
"25","was given a replacement pack because the one i had before was faulty thank u"
"26","received in good condition  will be using soon to see if it works well"
"27","received well packaged "
"28","good and fast delivery"
"29","have not yet tried box was silght damaged but the rest is still in tect so hopefully it works and thanks for the welcome instruction menual "
"30","no bad cheap  good recomended"
"31","just received havent try"
"32","nice product love it"
"33","received fast nice "
"34","fast delivery everything is operational hopefully it works "
"35","well received"
"36","looks good  but need to try out to see if work "
"37","tested to be working perfectly hopefully will help recover and strengthen from csection before i start lifting weights again"
"38","product received in good condition the electric shock from the ems is a great fit for the different muscles can feel the burn "
"39","the product is great love using it awesome and nice to use"
"40","received earlier than expected good packaging as if bought from shop vibration motion can be feel very satisfied"
"41","received well packed and very good condition will try and update again how it works for me thank you seller will definitely buy again to this seller "
